country,year,gwno,ccode,ifscode,ifs,gwabbrev,ipp_index_IP_transformed,iso3c
Colombia,1960,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1961,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1962,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1963,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1964,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1965,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1966,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1967,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1968,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1969,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1970,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1971,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1972,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1973,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1974,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1975,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1976,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1977,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1978,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1979,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1980,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1981,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1982,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1983,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1984,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1985,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1986,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1987,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1988,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1989,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1990,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1991,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1992,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1993,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1994,100,100.0,233.0,COL,COL,0.95833333,COL
Colombia,1995,100,100.0,233.0,COL,COL,2.69999999,COL
Colombia,1996,100,100.0,233.0,COL,COL,2.69999999,COL
Colombia,1997,100,100.0,233.0,COL,COL,2.69999999,COL
Colombia,1998,100,100.0,233.0,COL,COL,2.69999999,COL
Colombia,1999,100,100.0,233.0,COL,COL,2.69999999,COL
