EventID,Date,Latitude,Longitude,Depth_km,Magnitude,Source
tx2026clspok,2026-02-04,31.6253,-104.022,8,1.7,TexNet
tx2026clrxsu,2026-02-04,32.1159,-102.1785,6.7,1.4,TexNet
tx2026clrssf,2026-02-04,31.447,-103.1345,0.8,1.6,TexNet
tx2026clqpib,2026-02-04,32.113,-102.1689,7.6,1.2,TexNet
tx2026clqmpu,2026-02-04,32.1175,-102.1868,7,1.2,TexNet
tx2026clprmd,2026-02-04,31.7725,-101.9097,4,1.5,TexNet
tx2026clmxhj,2026-02-04,31.3485,-103.0302,0.8,1.9,TexNet
tx2026cllhsk,2026-02-04,32.2238,-101.414,9.4,1.7,TexNet
tx2026clkscv,2026-02-04,31.8975,-101.7467,8.5,1.2,TexNet
tx2026cljebd,2026-02-04,28.8671,-99.0058,5.8,1.8,TexNet
tx2026cliejk,2026-02-04,31.8869,-102.4215,3.9,1.4,TexNet
tx2026clhkkz,2026-02-04,31.4969,-103.8815,7.1,1.5,TexNet
tx2026clhccb,2026-02-04,31.6614,-104.363,7.5,1.5,TexNet
tx2026clglwp,2026-02-04,31.6775,-104.4006,7.3,2,TexNet
tx2026clgcjp,2026-02-04,31.6671,-104.366,7.9,3.1,TexNet
tx2026clgbqz,2026-02-04,32.0722,-101.8947,5.8,1.7,TexNet
tx2026clgaro,2026-02-04,31.6653,-104.3693,8.2,2.8,TexNet
tx2026clfnrm,2026-02-04,31.6697,-104.3994,7.3,1.6,TexNet
tx2026clfhoi,2026-02-04,31.6779,-104.4033,7.3,2,TexNet
tx2026cleyam,2026-02-04,31.6734,-104.4005,7.3,1.8,TexNet
tx2026cldfdq,2026-02-04,32.1423,-101.9746,10.1,1.6,TexNet
tx2026clcnzo,2026-02-04,32.1945,-101.4226,7,0.9,TexNet
tx2026clbhuv,2026-02-04,31.8942,-101.7441,9.3,1.8,TexNet
tx2026clahzm,2026-02-04,31.6504,-104.3906,7.3,1.8,TexNet
tx2026ckztpp,2026-02-04,31.6463,-104.4228,1.2,1.7,TexNet
tx2026ckyzva,2026-02-04,32.2348,-102.2307,9.8,0.9,TexNet
tx2026ckyfig,2026-02-04,31.6723,-104.4813,6.7,1.6,TexNet
tx2026ckvptk,2026-02-04,32.1964,-101.4247,7.7,1.6,TexNet
tx2026ckunyv,2026-02-04,28.3836,-98.7517,3.3,2.1,TexNet
tx2026cktqhd,2026-02-04,31.4923,-103.8772,3.2,1.9,TexNet
tx2026ckqplp,2026-02-04,31.9693,-102.0442,9.5,0.8,TexNet
tx2026ckntuj,2026-02-04,28.9512,-99.0082,6.7,2.1,TexNet
tx2026ckmdsr,2026-02-04,31.8924,-101.7463,9.6,1.1,TexNet
tx2026cklcpt,2026-02-04,31.7084,-104.1803,7.6,2,TexNet
tx2026ckjzxy,2026-02-03,31.0019,-103.35,6.5,1.7,TexNet
tx2026ckjvmu,2026-02-03,32.0078,-101.7398,9.3,0.9,TexNet
tx2026ckjmef,2026-02-03,31.8796,-102.4065,7.9,1.3,TexNet
tx2026ckgkpj,2026-02-03,28.8504,-98.9768,2.7,2.3,TexNet
tx2026ckdngr,2026-02-03,32.1002,-101.9081,9.8,1.2,TexNet
tx2026ckcbdc,2026-02-03,31.6666,-104.373,8.3,2,TexNet
tx2026ckbold,2026-02-03,32.2469,-101.8281,4.9,1.4,TexNet
tx2026ckbelz,2026-02-03,31.6383,-104.0034,8.1,1.5,TexNet
tx2026cjvsvk,2026-02-03,31.6149,-104.104,7.6,1.6,TexNet
tx2026cjusqd,2026-02-03,28.8183,-98.9699,9,2.1,TexNet
tx2026cjpfbq,2026-02-03,31.6344,-103.9898,6.1,1.8,TexNet
tx2026cjpers,2026-02-03,31.6339,-103.9928,5.5,1.9,TexNet
tx2026cjpekk,2026-02-03,31.634,-103.9902,7.1,2,TexNet
tx2026cjmujd,2026-02-03,31.8961,-101.7484,9.3,1.3,TexNet
tx2026cjkboz,2026-02-03,32.4271,-102.13,8.4,0.6,TexNet
tx2026cjdbcr,2026-02-03,28.8595,-99.0059,8.7,2,TexNet
tx2026ciyzis,2026-02-03,28.893,-98.9996,9.2,1.7,TexNet
tx2026cixpmi,2026-02-03,32.4106,-102.085,9,1.2,TexNet
tx2026ciwwpp,2026-02-03,31.8759,-102.4172,3.7,1.3,TexNet
tx2026ciwekd,2026-02-03,28.6688,-99.201,8.4,2,TexNet
tx2026citzue,2026-02-03,28.8556,-98.9794,4.7,1.6,TexNet
tx2026cisxei,2026-02-03,31.6701,-104.4796,7.4,1.6,TexNet
tx2026cirmpq,2026-02-03,32.3007,-101.8277,8,0.7,TexNet
tx2026cipzct,2026-02-03,28.8504,-98.9968,8.7,1.8,TexNet
tx2026cimhkn,2026-02-02,28.8316,-99.007,6.5,1.6,TexNet
tx2026cikxxa,2026-02-02,28.844,-99.0047,9.7,1.7,TexNet
tx2026cihfbk,2026-02-02,28.8599,-98.9931,7.5,1.6,TexNet
tx2026ciffnt,2026-02-02,32.4472,-102.07,9.5,1.3,TexNet
tx2026ciejei,2026-02-02,28.8517,-99.0067,7,1.8,TexNet
tx2026ciegje,2026-02-02,28.8619,-99.0023,7.5,2.1,TexNet
tx2026cidsfz,2026-02-02,32.352,-102.0785,8.1,1.1,TexNet
tx2026cidmas,2026-02-02,28.8752,-99.0126,9.3,2,TexNet
tx2026cibqww,2026-02-02,31.639,-104.2296,7.4,1.7,TexNet
tx2026ciaylo,2026-02-02,31.6603,-104.4898,8.7,1.6,TexNet
tx2026cialbm,2026-02-02,31.9867,-101.981,9,0.7,TexNet
tx2026ciagrj,2026-02-02,28.8498,-99.0222,8.9,2,TexNet
tx2026chxaeg,2026-02-02,28.8568,-99.0017,7.5,2.2,TexNet
tx2026chsbfw,2026-02-02,31.9023,-101.7422,2.9,1.3,TexNet
